year,month,day,hour,dry_bulb,dew_point,relative_humidity,atmospheric_station_pressure,extraterrestrial_horizontal_radiation,extraterrestrial_direct_normal_radiation,horizontal_infrared_radiation_intensity,global_horizontal_radiation,direct_normal_radiation,diffuse_horizontal_radiation,global_horizontal_illuminance,direct_normal_illuminance,diffuse_horizontal_illuminance,zenith_luminance,wind_direction,wind_speed,total_sky_cover,opaque_sky_cover,visibility,ceiling_height,precipitable_water,aerosol_optical_depth
,,,,C,C,,Pa,Wh/m2,Wh/m2,Wh/m2,Wh/m2, Wh/m2,Wh/m2,lux,lux,lux,Cd/m2, degrees,m/s,,,km,m,,,mm,thousandths
1985,3,12, 0,21.7,10.6,49,97400,   0,   0,404,  0,  0,  0,    0,    0,    0,   0,230,10.3,10,10,16.1, 1680,200,0.1270
1985,3,12, 1,21.1,10.6,51,97300,   0,   0,400,  0,  0,  0,    0,    0,    0,   0,230, 9.3,10,10,16.1, 1520,200,0.1270
1985,3,12, 2,20.0,10.6,55,97300,   0,   0,394,  0,  0,  0,    0,    0,    0,   0,240,11.3,10,10,11.3, 1220,200,0.1270
1985,3,12, 3,17.2,13.3,78,97300,   0,   0,383,  0,  0,  0,    0,    0,    0,   0,240, 9.3,10,10,11.3, 1220,229,0.1270
1985,3,12, 4,15.6,13.9,90,97300,   0,   0,375,  0,  0,  0,    0,    0,    0,   0,230, 7.2,10,10,11.3,  910,240,0.1270
1985,3,12, 5,14.4,13.9,97,97300,   0,   0,369,  0,  0,  0,    0,    0,    0,   0,230, 8.2,10,10,11.3,  640,240,0.1270
1985,3,12, 6,12.8,10.0,83,97600,   0,   0,356,  0,  0,  0,    0,    0,    0,   0,290, 6.7,10,10,11.3,  730,189,0.1270
1985,3,12, 7,10.6, 5.0,69,97800,   2, 173,323,  1,  1,  1,    0,    0,    0,   0,280, 6.7, 8, 8,24.1, 1130,139,0.0400
1985,3,12, 8, 7.8, 2.2,68,98100, 173,1385,308, 33, 27, 30, 3700, 1900, 3400, 770,300, 7.2, 8, 8,24.1, 3050,120,0.0400
1985,3,12, 9, 8.3, 1.7,63,98300, 447,1385,298,191,237,116,20600,22000,13400,2300,300, 6.7, 5, 5,24.1,77777,120,0.0400
1985,3,12,10, 8.3,-1.7,50,98300, 690,1385,293,272,281,133,29600,28200,15500,2740,300, 6.2, 4, 4,24.1,77777,100,0.0400
1985,3,12,11,10.0,-1.7,45,98400, 883,1385,297,577,707,130,62200,71900,16200,3330,330, 4.1, 3, 3,24.1,77777,100,0.0400
1985,3,12,12,11.7,-1.7,40,98400,1013,1385,302,741,880,100,77300,87800,12800,2610,300, 5.2, 2, 2,24.1,77777,100,0.0400
1985,3,12,13,12.2,-0.6,42,98400,1071,1385,305,792,866,125,82000,86500,14900,3160, 20, 4.1, 2, 2,24.1,77777,100,0.0400
1985,3,12,14,13.3,-2.2,34,98300,1053,1385,313,715,694,189,76100,70600,22200,6060,300, 6.7, 8, 4,24.1,77777, 89,0.0400
1985,3,12,15,13.9,-2.2,33,98300, 961,1385,314,684,802,131,72100,80300,16200,3380,360, 6.2, 6, 3,24.1,77777, 89,0.0400
1985,3,12,16,13.9,-2.2,33,98300, 799,1385,318,361,321,177,38900,32800,19900,4020,360, 4.1, 6, 5,24.1, 7620, 89,0.0400
1985,3,12,17,13.3,-2.8,33,98300, 581,1385,318,234,327, 98,25700,31900,12300,1880,340, 5.7, 7, 6,24.1, 9140, 89,0.0400
1985,3,12,18,12.2,-3.9,33,98300, 321,1385,315,125,203, 79,13400,16400, 9600,1500,330, 4.1, 9, 7,24.1, 9140, 89,0.0400
1985,3,12,19,10.0,-3.9,38,98400,  59, 912,292, 34,114, 22, 3100, 4700, 2800, 390, 20, 4.1, 6, 2,24.1,77777, 89,0.0400
1985,3,12,20, 8.3,-3.3,44,98400,   0,   0,286,  0,  0,  0,    0,    0,    0,   0, 20, 4.1, 2, 2,24.1,77777, 89,0.0400
1985,3,12,21, 7.8,-3.9,44,98500,   0,   0,274,  0,  0,  0,    0,    0,    0,   0,360, 4.1, 0, 0,24.1,77777, 89,0.0400
1985,3,12,22, 6.7,-3.9,47,98500,   0,   0,270,  0,  0,  0,    0,    0,    0,   0,360, 3.1, 0, 0,24.1,77777, 80,0.0400
1985,3,12,23, 3.9,-3.3,60,98500,   0,   0,260,  0,  0,  0,    0,    0,    0,   0, 60, 2.6, 0, 0,24.1,77777, 89,0.0400
1985,3,12,24, 5.0,-3.9,53,98400,   0,   0,263,  0,  0,  0,    0,    0,    0,   0, 70, 3.1, 0, 0,24.1,77777, 89,0.0400
0}"
"
